date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:13:07	120196/120196	---M-Z	200	added ('OK')	text/html	etag:%221d584-55d74111b75dd-gzip%22	https://www.radiustheme.com/demo/html/newsedge/newsedge/index7.html	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/newsedge/index7.html	(from https://www.radiustheme.com/demo/html/newsedge/)
17:13:08	64251/64251	---M-Z	200	added ('OK')	text/html	etag:%22fafb-55d74103d6525-gzip%22	https://www.radiustheme.com/demo/html/newsedge/newsedge/author-post.html	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/newsedge/author-post.html	(from https://www.radiustheme.com/demo/html/newsedge/)
17:13:09	66246/66246	---M-Z	200	added ('OK')	text/html	etag:%22102c6-55d74104d3be8-gzip%22	https://www.radiustheme.com/demo/html/newsedge/newsedge/archive.html	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/newsedge/archive.html	(from https://www.radiustheme.com/demo/html/newsedge/)
17:13:10	70828/70828	---M-Z	200	added ('OK')	text/html	etag:%22114ac-55d74106f9122-gzip%22	https://www.radiustheme.com/demo/html/newsedge/newsedge/gallery-style-1.html	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/newsedge/gallery-style-1.html	(from https://www.radiustheme.com/demo/html/newsedge/)
17:13:11	52106/52106	---M-Z	200	added ('OK')	text/html	etag:%22cb8a-55d7410832cc2-gzip%22	https://www.radiustheme.com/demo/html/newsedge/newsedge/gallery-style-2.html	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/newsedge/gallery-style-2.html	(from https://www.radiustheme.com/demo/html/newsedge/)
17:13:12	41507/41507	---M-Z	200	added ('OK')	text/html	etag:%22a223-55d74101a0649-gzip%22	https://www.radiustheme.com/demo/html/newsedge/newsedge/404.html	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/newsedge/404.html	(from https://www.radiustheme.com/demo/html/newsedge/)
17:13:13	63012/63012	---M-Z	200	added ('OK')	text/html	etag:%22f624-55d7411231ed6-gzip%22	https://www.radiustheme.com/demo/html/newsedge/newsedge/post-style-1.html	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/newsedge/post-style-1.html	(from https://www.radiustheme.com/demo/html/newsedge/)
17:13:14	60006/60006	---M-Z	200	added ('OK')	text/html	etag:%22ea66-55d74113df227-gzip%22	https://www.radiustheme.com/demo/html/newsedge/newsedge/post-style-2.html	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/newsedge/post-style-2.html	(from https://www.radiustheme.com/demo/html/newsedge/)
17:13:15	64413/64413	---M-Z	200	added ('OK')	text/html	etag:%22fb9d-55d7411460499-gzip%22	https://www.radiustheme.com/demo/html/newsedge/newsedge/post-style-3.html	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/newsedge/post-style-3.html	(from https://www.radiustheme.com/demo/html/newsedge/)
17:13:16	65435/65435	---M-Z	200	added ('OK')	text/html	etag:%22ff9b-55d7411601499-gzip%22	https://www.radiustheme.com/demo/html/newsedge/newsedge/post-style-4.html	/home/turtuvshin/My%20Web%20Sites/newsedge/www.radiustheme.com/demo/html/newsedge/newsedge/post-style-4.html	(from https://www.radiustheme.com/demo/html/newsedge/)
